id,name,abstract,journal,year,type,doi,pmId,pmcId,url
doi:10.1371/journal.pone.0256973,Role of miR-181c in Diet-induced obesity through regulation of lipid synthesis in liver.,"We recently identified a nuclear-encoded miRNA (miR-181c) in cardiomyocytes that can translocate into mitochondria to regulate mitochondrial gene mt-COX1 and influence obesity-induced cardiac dysfunction through the mitochondrial pathway. Because liver plays a pivotal role during obesity, we hypothesized that miR-181c might contribute to the pathophysiological complications associated with obesity. Therefore, we used miR-181c/d-/- mice to study the role of miR-181c in hepatocyte lipogenesis during diet-induced obesity. The mice were fed a high-fat (HF) diet for 26 weeks, during which indirect calorimetric measurements were made. Quantitative PCR (qPCR) was used to examine the expression of genes involved in lipid synthesis. We found that miR-181c/d-/- mice were not protected against all metabolic consequences of HF exposure. After 26 weeks, the miR-181c/d-/- mice had a significantly higher body fat percentage than did wild-type (WT) mice. Glucose tolerance tests showed hyperinsulinemia and hyperglycemia, indicative of insulin insensitivity in the miR-181c/d-/- mice. miR-181c/d-/- mice fed the HF diet had higher serum and liver triglyceride levels than did WT mice fed the same diet. qPCR data showed that several genes regulated by isocitrate dehydrogenase 1 (IDH1) were more upregulated in miR-181c/d-/- liver than in WT liver. Furthermore, miR-181c delivered in vivo via adeno-associated virus attenuated the lipogenesis by downregulating these same lipid synthesis genes in the liver. In hepatocytes, miR-181c regulates lipid biosynthesis by targeting IDH1. Taken together, the data indicate that overexpression of miR-181c can be beneficial for various lipid metabolism disorders.",PloS one,2021,primary,doi:10.1371/journal.pone.0256973,34879063,PMC8654194,https://doi.org/doi:10.1371/journal.pone.0256973
doi:10.3389/fphys.2021.747789,Deciphering the Role of microRNAs in Large-Artery Stiffness Associated With Aging: Focus on miR-181b.,"Large artery stiffness (LAS) is a major, independent risk factor underlying cardiovascular disease that increases with aging. The emergence of microRNA signaling as a key regulator of vascular structure and function has stimulated interest in assessing its role in the pathophysiology of LAS. Identification of several microRNAs that display age-associated changes in expression in aorta has focused attention on defining their molecular targets and deciphering their role in age-associated arterial stiffening. Inactivation of the microRNA-degrading enzyme, translin/trax, which reverses the age-dependent decline in miR-181b, confers protection from aging-associated arterial stiffening, suggesting that inhibitors targeting this enzyme may have translational potential. As LAS poses a major public health challenge, we anticipate that future studies based on these advances will yield innovative strategies to combat aging-associated arterial stiffening.",Frontiers in physiology,2021,primary,doi:10.3389/fphys.2021.747789,34646165,PMC8504676,https://doi.org/doi:10.3389/fphys.2021.747789
doi:10.1161/HYPERTENSIONAHA.120.16690,Degradation of Premature-miR-181b by the Translin/Trax RNase Increases Vascular Smooth Muscle Cell Stiffness.,[Figure: see text].,"Hypertension (Dallas, Tex. : 1979)",2021,primary,doi:10.1161/HYPERTENSIONAHA.120.16690,34304585,PMC8363557,https://doi.org/doi:10.1161/HYPERTENSIONAHA.120.16690
doi:10.1016/j.jneuroim.2023.578064,Emerging role of extracellular vesicles in multiple sclerosis: From cellular surrogates to pathogenic mediators and beyond.,"Multiple Sclerosis (MS) is a chronic, inflammatory demyelinating disease of the central nervous system (CNS) driven by a complex interplay of genetic and environmental factors. While the therapeutic arsenal has expanded significantly for management of relapsing forms of MS, treatment of individuals with progressive MS is suboptimal. This treatment inequality is in part due to an incomplete understanding of pathomechanisms at different stages of the disease-underscoring the critical need for new biomarkers. Extracellular vesicles (EVs) and their bioactive cargo have emerged as endogenous nanoparticles with great theranostic potential-as diagnostic and prognostic biomarkers and ultimately as therapeutic candidates for precision nanotherapeutics. The goals of this review are to: 1) summarize the current data investigating the role of EVs and their bioactive cargo in MS pathogenesis, 2) provide a high level overview of advances and challenges in EV isolation and characterization for translational studies, and 3) conclude with future perspectives on this evolving field.",Journal of neuroimmunology,2023,primary,doi:10.1016/j.jneuroim.2023.578064,36934525,PMC10124134,https://doi.org/doi:10.1016/j.jneuroim.2023.578064
doi:10.1039/d1lc01053k,Microfluidic harvesting of breast cancer tumor spheroid-derived extracellular vesicles from immobilized microgels for single-vesicle analysis.,"Investigating cellular and vesicular heterogeneity in breast cancer remains a challenge, which encourages the development of controllable in vitro systems that mimic the tumor microenvironment. Although three-dimensional cell culture better recapitulates the heterogeneity observed in tumor growth and extracellular vesicle (EV) biogenesis, the physiological relevance is often contrasted with the control offered by two-dimensional cell culture. Therefore, to challenge this misconception we developed a novel microfluidic system harboring highly tunable three-dimensional EV microbioreactors (EVμBRs) to model micrometastatic EV release in breast cancer while capitalizing on the convenient, low-volume, and sterile interface provided by microfluidics. The diameter and cellular occupancy of the EVμBRs could be precisely tailored to various configurations, supporting the formation of breast cancer tumor spheroids. To immobilize the EVμBRs within a microchannel and facilitate EV extraction, oxygen inhibition in free-radical polymerization was repurposed to rapidly generate two-layer hydrodynamic traps in situ using a digital-micromirror device (DMD)-based ultraviolet (UV) projection system. Breast cancer tumor spheroid-derived EVs were harvested with as little as 20 μL from the microfluidic system and quantified by single-EV immunofluorescence for CD63 and CD81. Despite the low-volume extraction, differences in biomarker expression and coexpression of the tetraspanins on single EVs were observed. Furthermore, the EVμBRs were capable of recapitulating heterogeneity at a cellular and vesicular degree, indicating the utility and robustness of the microfluidic system to investigate physiologically relevant EVs in breast cancer and other disease models.",Lab on a chip,2022,primary,doi:10.1039/d1lc01053k,35579189,PMC9383696,https://doi.org/doi:10.1039/d1lc01053k
doi:10.1038/s41591-021-01593-2,Real-time alerting system for COVID-19 and other stress events using wearable data.,"Early detection of infectious diseases is crucial for reducing transmission and facilitating early intervention. In this study, we built a real-time smartwatch-based alerting system that detects aberrant physiological and activity signals (heart rates and steps) associated with the onset of early infection and implemented this system in a prospective study. In a cohort of 3,318 participants, of whom 84 were infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), this system generated alerts for pre-symptomatic and asymptomatic SARS-CoV-2 infection in 67 (80%) of the infected individuals. Pre-symptomatic signals were observed at a median of 3 days before symptom onset. Examination of detailed survey responses provided by the participants revealed that other respiratory infections as well as events not associated with infection, such as stress, alcohol consumption and travel, could also trigger alerts, albeit at a much lower mean frequency (1.15 alert days per person compared to 3.42 alert days per person for coronavirus disease 2019 cases). Thus, analysis of smartwatch signals by an online detection algorithm provides advance warning of SARS-CoV-2 infection in a high percentage of cases. This study shows that a real-time alerting system can be used for early detection of infection and other stressors and employed on an open-source platform that is scalable to millions of users.",Nature medicine,2022,primary,doi:10.1038/s41591-021-01593-2,34845389,PMC8799466,https://doi.org/doi:10.1038/s41591-021-01593-2
doi:10.1101/2021.06.13.21258795,Real-time Alerting System for COVID-19 Using Wearable Data.,"Early detection of infectious disease is crucial for reducing transmission and facilitating early intervention. We built a real-time smartwatch-based alerting system for the detection of aberrant physiological and activity signals (e.g. resting heart rate, steps) associated with early infection onset at the individual level. Upon applying this system to a cohort of 3,246 participants, we found that alerts were generated for pre-symptomatic and asymptomatic COVID-19 infections in 78% of cases, and pre-symptomatic signals were observed a median of three days prior to symptom onset. Furthermore, by examining over 100,000 survey annotations, we found that other respiratory infections as well as events not associated with COVID-19 (e.g. stress, alcohol consumption, travel) could trigger alerts, albeit at a lower mean period (1.9 days) than those observed in the COVID-19 cases (4.3 days). Thus this system has potential both for advanced warning of COVID-19 as well as a general system for measuring health via detection of physiological shifts from personal baselines. The system is open-source and scalable to millions of users, offering a personal health monitoring system that can operate in real time on a global scale.",medRxiv : the preprint server for health sciences,2021,primary,doi:10.1101/2021.06.13.21258795,34189532,PMC8240687,https://doi.org/doi:10.1101/2021.06.13.21258795
doi:10.1021/acs.jpcb.3c02099,"Ligation of Gold Nanoparticles with Self-Assembling, Coiled-Coil Peptides.","The surface of gold nanoparticles (AuNPs) can be conjugated with a wide range of highly functional biomolecules. A common pitfall when utilizing AuNPs is their tendency to aggregate, especially when their surface is functionalized with ligands of low molecular weight (no steric repulsion) or ligands of neutral charge (no electrostatic repulsion). For biomedical applications, AuNPs that are colloidally stable are desirable because they have a high surface area and thus reactivity, resist sedimentation, and exhibit uniform optical properties. Here, we engineer the surface of AuNPs so that they remain stable when decorated with coiled-coil (CC) peptides while preserving the native polypeptide properties. We achieve this by using a neutral, mixed ligand layer composed of lipoic acid poly(ethylene glycol) and lipoic acid poly(ethylene glycol) maleimide to attach the CCs. Tuning the surface fraction of each component within the mixed ligand layer also allowed us to control the degree of AuNP labeling with CCs. We demonstrate the dynamic surface properties of these CC-AuNPs by performing a place-exchange reaction and their utility by designing an energy-transfer-based caspase-3 sensor. Overall, this study optimizes the surface chemistry of AuNPs to quantitatively present functional biomolecules while maintaining colloid stability.",The journal of physical chemistry. B,2023,primary,doi:10.1021/acs.jpcb.3c02099,37683185,,https://doi.org/doi:10.1021/acs.jpcb.3c02099
doi:10.1021/acsami.3c09627,Goldilocks Energy Minimum: Peptide-Based Reversible Aggregation and Biosensing.,"Colorimetric biosensors based on gold nanoparticle (AuNP) aggregation are often challenged by matrix interference in biofluids, poor specificity, and limited utility with clinical samples. Here, we propose a peptide-driven nanoscale disassembly approach, where AuNP aggregates induced by electrostatic attractions are dissociated in response to proteolytic cleavage. Initially, citrate-coated AuNPs were assembled via a short cationic peptide (RRK) and characterized by experiments and simulations. The dissociation peptides were then used to reversibly dissociate the AuNP aggregates as a function of target protease detection, i.e., main protease (Mpro), a biomarker for severe acute respiratory syndrome coronavirus 2. The dissociation propensity depends on peptide length, hydrophilicity, charge, and ligand architecture. Finally, our dissociation strategy provides a rapid and distinct optical signal through Mpro cleavage with a detection limit of 12.3 nM in saliva. Our dissociation peptide effectively dissociates plasmonic assemblies in diverse matrices including 100% human saliva, urine, plasma, and seawater, as well as other types of plasmonic nanoparticles such as silver. Our peptide-enabled dissociation platform provides a simple, matrix-insensitive, and versatile method for protease sensing.",ACS applied materials & interfaces,2023,primary,doi:10.1021/acsami.3c09627,37651748,,https://doi.org/doi:10.1021/acsami.3c09627
doi:10.1021/acsnano.3c04259,Endoproteolysis of Oligopeptide-Based Coacervates for Enzymatic Modeling.,"Better insights into the fate of membraneless organelles could strengthen the understanding of the transition from prebiotic components to multicellular organisms. Compartmentalized enzyme reactions in a synthetic coacervate have been investigated, yet there remains a gap in understanding the enzyme interactions with coacervate as a substrate hub. Here, we study how the molecularly crowded nature of the coacervate affects the interactions of the embedded substrate with a protease. We design oligopeptide-based coacervates that comprise an anionic Asp-peptide (D10) and a cationic Arg-peptide (R5R5) with a proteolytic cleavage site. The coacervates dissolve in the presence of the main protease (Mpro) implicated in the coronavirus lifecycle. We capitalize on the condensed structure, introduce a self-quenching mechanism, and model the enzyme kinetics by using Cy5.5-labeled peptides. The determined specificity constant (kcat/KM) is 5817 M-1 s-1 and is similar to that of the free substrate. We further show that the enzyme kinetics depend on the type and quantity of dye incorporated into the coacervates. Our work presents a simple design for enzyme-responsive coacervates and provides insights into the interactions between the enzyme and coacervates as a whole.",ACS nano,2023,primary,doi:10.1021/acsnano.3c04259,37579082,,https://doi.org/doi:10.1021/acsnano.3c04259
doi:10.1039/d3an00873h,An approach to zwitterionic peptide design for colorimetric detection of the Southampton norovirus SV3CP protease.,"Noroviruses are highly contagious and are one of the leading causes of acute gastroenteritis worldwide. Due to a lack of effective antiviral therapies, there is a need to diagnose and surveil norovirus infections to implement quarantine protocols and prevent large outbreaks. Currently, the gold standard of diagnosis uses reverse transcription polymerase chain reaction (RT-PCR), but PCR can have limited availability. Here, we propose a combination of a tunable peptide substrate and gold nanoparticles (AuNPs) to colorimetrically detect the Southampton norovirus 3C-like protease (SV3CP), a key protease in viral replication. Careful design of the substrate employs a zwitterionic peptide with opposite charged moieties on the C- and N- termini to induce a rapid color change visible to the naked eye; thus, this color change is indicative of SV3CP activity. This work expands on existing zwitterionic peptide strategies for protease detection by systematically evaluating the effects of lysine and arginine on nanoparticle charge screening. We also determine a limit of detection for SV3CP of 28.0 nM with comparable results in external breath condensate, urine, and fecal matter for 100 nM of SV3CP. The key advantage of this system is its simplicity and accessibility, thus making it an attractive tool for qualitative point-of-care diagnostics.",The Analyst,2023,primary,doi:10.1039/d3an00873h,37578304,,https://doi.org/doi:10.1039/d3an00873h
doi:10.1021/acsami.3c00862,Empirical Optimization of Peptide Sequence and Nanoparticle Colloidal Stability: The Impact of Surface Ligands and Implications for Colorimetric Sensing.,"Surface ligands play a critical role in controlling and defining the properties of colloidal nanocrystals. These aspects have been exploited to design nanoparticle aggregation-based colorimetric sensors. Here, we coated 13-nm gold nanoparticles (AuNPs) with a large library of ligands (e.g., from labile monodentate monomers to multicoordinating macromolecules) and evaluated their aggregation propensity in the presence of three peptides containing charged, thiolate, or aromatic amino acids. Our results show that AuNPs coated with the polyphenols and sulfonated phosphine ligands were good choices for electrostatic-based aggregation. AuNPs capped with citrate and labile-binding polymers worked well for dithiol-bridging and π-π stacking-induced aggregation. In the example of electrostatic-based assays, we stress that good sensing performance requires aggregating peptides of low charge valence paired with charged NPs with weak stability and vice versa. We then present a modular peptide containing versatile aggregating residues to agglomerate a variety of ligated AuNPs for colorimetric detection of the coronavirus main protease. Enzymatic cleavage liberates the peptide segment, which in turn triggers NP agglomeration and thus rapid color changes in <10 min. The protease detection limit is 2.5 nM.",ACS applied materials & interfaces,2023,primary,doi:10.1021/acsami.3c00862,37058597,,https://doi.org/doi:10.1021/acsami.3c00862
doi:10.1039/d2sc05837e,Peptide valence-induced breaks in plasmonic coupling.,"Electrostatic interactions are a key driving force that mediates colloidal assembly. The Schulze-Hardy rule states that nanoparticles have a higher tendency to coagulate in the presence of counterions with high charge valence. However, it is unclear how the Schulze-Hardy rule works when the simple electrolytes are replaced with more sophisticated charge carriers. Here, we designed cationic peptides of varying valencies and demonstrate that their charge screening behaviors on anionic gold nanoparticles (AuNPs) follow the six-power relationship in the Schulze-Hardy rule. This finding further inspires a simple yet effective strategy for measuring SARS-CoV-2 main protease (Mpro) via naked eyes. This work provides a unique avenue for fundamental NP disassembly based on the Schulze-Hardy rule and can help design versatile substrates for colorimetric sensing of other proteases.",Chemical science,2023,primary,doi:10.1039/d2sc05837e,36908948,PMC9993903,https://doi.org/doi:10.1039/d2sc05837e
doi:10.1021/acs.analchem.2c04988,Protease-Responsive Potential-Tunable AIEgens for Cell Selective Imaging of TMPRSS2 and Accurate Inhibitor Screening.,"Transmembrane protease serine 2 (TMPRSS2) is a plasma membrane protease that activates both spike protein of coronaviruses for cell entry and oncogenic signaling pathways for tumor progression. TMPRSS2 inhibition can reduce cancer invasion and metastasis and partially prevent the entry of SARS-CoV-2 into host cells. Thus, there is an urgent need for both TMPRSS2-selective imaging and precise screening of TMPRSS2 inhibitors. Here, we report a TMPRSS2-responsive surface-potential-tunable peptide-conjugated probe (EGTP) with aggregation-induced emission (AIE) features for TMPRSS2 selective imaging and accurate inhibitor screening. The amphiphilic EGTP was constructed with tunable surface potential and responsive efficiency with TMPRSS2 and its inhibitor. The rational construction of AIE luminogens (AIEgens) with modular peptides indicated that the cleavage of EGTP led to a gradual aggregation with bright fluorescence in high TMPRSS2-expressing cells. This strategy may have value for selective detection of cancer cells, SARS-CoV-2-target cells, and screening of protease inhibitors.",Analytical chemistry,2023,primary,doi:10.1021/acs.analchem.2c04988,36753444,,https://doi.org/doi:10.1021/acs.analchem.2c04988
doi:10.1002/anie.202214394,Peptide Amphiphile Mediated Co-assembly for Nanoplasmonic Sensing.,"Aromatic interactions are commonly involved in the assembly of naturally occurring building blocks, and these interactions can be replicated in an artificial setting to produce functional materials. Here we describe a colorimetric biosensor using co-assembly experiments with plasmonic gold and surfactant-like peptides (SLPs) spanning a wide range of aromatic residues, polar stretches, and interfacial affinities. The SLPs programmed in DDD-(ZZ)x -FFPC self-assemble into higher-order structures in response to a protease and subsequently modulate the colloidal dispersity of gold leading to a colorimetric readout. Results show the strong aggregation propensity of the FFPC tail without polar DDD head. The SLPs were specific to the target protease, i.e., Mpro , a biomarker for SARS-CoV-2. This system is a simple and visual tool that senses Mpro in phosphate buffer, exhaled breath condensate, and saliva with detection limits of 15.7, 20.8, and 26.1 nM, respectively. These results may have value in designing other protease testing methods.",Angewandte Chemie (International ed. in English),2023,primary,doi:10.1002/anie.202214394,36409652,PMC9852014,https://doi.org/doi:10.1002/anie.202214394
doi:10.1021/acs.langmuir.2c02219,Gold-Silver Core-Shell Nanoparticle Crosslinking Mediated by Protease Activity for Colorimetric Enzyme Detection.,"Plasmonic nanoparticles produce a localized surface plasmon resonance (LSPR) under optical excitation. The LSPR of nanoparticles can shift in response to changes in the local dielectric environment and produce a color change. This color change can be observed by the naked eye due to the exceptionally large extinction coefficients (108-1011 M-1 cm-1) of plasmonic nanoparticles. Herein, we investigate the optical shifts (i.e., color change) of three unique gold-silver core-shell nanoparticle structures in response to changes in their dielectric environment upon nanoparticle aggregation. Aggregation is induced by a cysteine-containing peptide that has a sulfhydryl near its N and C termini, which crosslinks nanoparticles. Furthermore, we demonstrate that adding proline spacers between the cysteines impacts the degree of aggregation and, ultimately, the color response. Using this information, we construct a colorimetric enzyme assay, where the signal produced from nanoparticle aggregation is modulated by proteolysis. The degree of aggregation and the resulting optical shift can be correlated with enzyme concentration with high linearity (R2 = 0.998). Overall, this study explores the optical properties of gold-silver core-shell nanoparticles in a dispersed vs aggregated state and leverages that information to develop an enzyme sensor with a spectral LOD of 0.47 ± 0.09 nM.",Langmuir : the ACS journal of surfaces and colloids,2022,primary,doi:10.1021/acs.langmuir.2c02219,36351199,,https://doi.org/doi:10.1021/acs.langmuir.2c02219
doi:10.1021/acs.nanolett.2c03052,Spacer Matters: All-Peptide-Based Ligand for Promoting Interfacial Proteolysis and Plasmonic Coupling.,"Plasmonic coupling via nanoparticle assembly is a popular signal-generation method in bioanalytical sensors. Here, we customized an all-peptide-based ligand that carries an anchoring group, polyproline spacer, biomolecular recognition, and zwitterionic domains for functionalizing gold nanoparticles (AuNPs) as a colorimetric enzyme sensor. Our results underscore the importance of the polyproline module, which enables the SARS-CoV-2 main protease (Mpro) to recognize the peptidic ligand on nanosurfaces for subsequent plasmonic coupling via Coulombic interactions. AuNP aggregation is favored by the lowered surface potential due to enzymatic unveiling of the zwitterionic module. Therefore, this system provides a naked-eye measure for Mpro. No proteolysis occurs on AuNPs modified with a control ligand lacking a spacer domain. Overall, this all-peptide-based ligand does not require complex molecular conjugations and hence offers a simple and promising route for plasmonic sensing other proteases.",Nano letters,2022,primary,doi:10.1021/acs.nanolett.2c03052,36346642,,https://doi.org/doi:10.1021/acs.nanolett.2c03052
doi:10.1021/acsami.2c17531,Di-Arginine Additives for Dissociation of Gold Nanoparticle Aggregates: A Matrix-Insensitive Approach with Applications in Protease Detection.,"We report the reversible aggregation of gold nanoparticles (AuNPs) assemblies via a di-arginine peptide additive and thiolated PEGs (HS-PEGs). The AuNPs were first aggregated by attractive forces between the citrate-capped surface and the arginine side chains. We found that the HS-PEG thiol group has a higher affinity for the AuNP surface, thus leading to redispersion and colloidal stability. In turn, there was a robust and obvious color change due to on/off plasmonic coupling. The assemblies' dissociation was directly related to the HS-PEG structural properties such as their size or charge. As an example, HS-PEGs with a molecular weight below 1 kDa could dissociate 100% of the assemblies and restore the exact optical properties of the initial AuNP suspension (prior to the assembly). Surprisingly, the dissociation capacity of HS-PEGs was not affected by the composition of the operating medium and could be performed in complex matrices such as plasma, saliva, bile, urine, cell lysates, or even seawater. The high affinity of thiols for the gold surface encompasses by far the one of endogenous molecules and is thus favored. Moreover, starting with AuNPs already aggregated ensured the absence of a background signal as the dissociation of the assemblies was far from spontaneous. Remarkably, it was possible to dry the AuNP assemblies and solubilize them back with HS-PEGs, improving the colorimetric signal generation. We used this system for protease sensing in biological fluids. Trypsin was chosen as the model enzyme, and highly positively charged peptides were conjugated to HS-PEG molecules as cleavage substrates. The increase of positive charge of the HS-PEG-peptide conjugate quenched the dissociation capacity of the HS-PEG molecules, which could only be restored by the proteolytic cleavage. Picomolar limit of detection was obtained as well as the detection in saliva or urine.",ACS applied materials & interfaces,2022,primary,doi:10.1021/acsami.2c17531,36346346,PMC10464667,https://doi.org/doi:10.1021/acsami.2c17531
doi:10.1021/acs.analchem.2c02381,A Self-Immolative Fluorescent Probe for Selective Detection of SARS-CoV-2 Main Protease.,"Existing tools to detect and visualize severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) suffer from low selectivity, poor cell permeability, and high cytotoxicity. Here we report a novel self-immolative fluorescent probe (MP590) for the highly selective and sensitive detection of the SARS-CoV-2 main protease (Mpro). This fluorescent probe was prepared by connecting a Mpro-cleavable peptide (N-acetyl-Abu-Tle-Leu-Gln) with a fluorophore (i.e., resorufin) via a self-immolative aromatic linker. Fluorescent titration results show that MP590 can detect Mpro with a limit of detection (LoD) of 35 nM and is selective over interferents such as hemoglobin, bovine serum albumin (BSA), thrombin, amylase, SARS-CoV-2 papain-like protease (PLpro), and trypsin. The cell imaging data indicate that this probe can report Mpro in HEK 293T cells transfected with a Mpro expression plasmid as well as in TMPRSS2-VeroE6 cells infected with SARS-CoV-2. Our results suggest that MP590 can both measure and monitor Mpro activity and quantitatively evaluate Mpro inhibition in infected cells, making it an important tool for diagnostic and therapeutic research on SARS-CoV-2.",Analytical chemistry,2022,primary,doi:10.1021/acs.analchem.2c02381,35973073,PMC9396966,https://doi.org/doi:10.1021/acs.analchem.2c02381
doi:10.1021/acsnano.2c03219,Protease-Responsive Peptide-Conjugated Mitochondrial-Targeting AIEgens for Selective Imaging and Inhibition of SARS-CoV-2-Infected Cells.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a serious threat to human health and lacks an effective treatment. There is an urgent need for both real-time tracking and precise treatment of the SARS-CoV-2-infected cells to mitigate and ultimately prevent viral transmission. However, selective triggering and tracking of the therapeutic process in the infected cells remains challenging. Here, we report a main protease (Mpro)-responsive, mitochondrial-targeting, and modular-peptide-conjugated probe (PSGMR) for selective imaging and inhibition of SARS-CoV-2-infected cells via enzyme-instructed self-assembly and aggregation-induced emission (AIE) effect. The amphiphilic PSGMR was constructed with tunable structure and responsive efficiency and validated with recombinant proteins, cells transfected with Mpro plasmid or infected by SARS-CoV-2, and a Mpro inhibitor. By rational construction of AIE luminogen (AIEgen) with modular peptides and Mpro, we verified that the cleavage of PSGMR yielded gradual aggregation with bright fluorescence and enhanced cytotoxicity to induce mitochondrial interference of the infected cells. This strategy may have value for selective detection and treatment of SARS-CoV-2-infected cells.",ACS nano,2022,primary,doi:10.1021/acsnano.2c03219,35878004,PMC9344892,https://doi.org/doi:10.1021/acsnano.2c03219
doi:10.1021/acsnano.1c11643,Peptide-Induced Fractal Assembly of Silver Nanoparticles for Visual Detection of Disease Biomarkers.,"We report the peptide-programmed fractal assembly of silver nanoparticles (AgNPs) in a diffusion-limited aggregation (DLA) mode, and this change in morphology generates a significant color change. We show that peptides with specific repetitions of defined amino acids (i.e., arginine, histidine, or phenylalanine) can induce assembly and coalescence of the AgNPs (20 nm) into a hyperbranched structure (AgFSs) (∼2 μm). The dynamic process of this assembly was systematically investigated, and the extinction of the nanostructures can be modulated from 400 to 600 nm by varying the peptide sequences and molar ratio. According to this rationale, two strategies of SARS-CoV-2 detection were investigated. The activity of the main protease (Mpro) involved in SARS-CoV-2 was validated with a peptide substrate that can bridge the AgNPs after the proteolytic cleavage. A sub-nanomolar limit of detection (0.5 nM) and the capacity to distinguish by the naked eye in a wide concentration range (1.25-30 nM) were achieved. Next, a multichannel sensor-array based on multiplex peptides that can visually distinguish SARS-CoV-2 proteases from influenza proteases in doped human samples was investigated.",ACS nano,2022,primary,doi:10.1021/acsnano.1c11643,35377141,PMC9530071,https://doi.org/doi:10.1021/acsnano.1c11643
doi:10.1021/acs.chemmater.1c03871,Peptidic Sulfhydryl for Interfacing Nanocrystals and Subsequent Sensing of SARS-CoV-2 Protease.,"There is a need for surveillance of COVID-19 to identify individuals infected with SARS-CoV-2 coronavirus. Although specific, nucleic acid testing has limitations in terms of point-of-care testing. One potential alternative is the nonstructural protease (nsp5, also known as Mpro/3CLpro) implicated in SARS-CoV-2 viral replication but not incorporated into virions. Here, we report a divalent substrate with a novel design, (Cys)2-(AA)x-(Asp)3, to interface gold colloids in the specific presence of Mpro leading to a rapid and colorimetric readout. Citrate- and tris(2-carboxyethyl)phosphine (TCEP)-AuNPs were identified as the best reporter out of the 17 ligated nanoparticles. Furthermore, we empirically determined the effects of varying cysteine valence and biological media on the sensor specificity and sensitivity. The divalent peptide was specific to Mpro, that is, there was no response when tested with other proteins or enzymes. Furthermore, the Mpro detection limits in Tris buffer and exhaled breath matrices are 12.2 and 18.9 nM, respectively, which are comparable to other reported methods (i.e., at low nanomolar concentrations) yet with a rapid and visual readout. These results from our work would provide informative rationales to design a practical and noninvasive alternative for COVID-19 diagnostic testing-the presence of viral proteases in biofluids is validated.",Chemistry of materials : a publication of the American Chemical Society,2022,primary,doi:10.1021/acs.chemmater.1c03871,37406055,PMC8791034,https://doi.org/doi:10.1021/acs.chemmater.1c03871
doi:10.1002/anie.202112995,A Charge-Switchable Zwitterionic Peptide for Rapid Detection of SARS-CoV-2 Main Protease.,"The transmission of SARS-CoV-2 coronavirus has led to the COVID-19 pandemic. Nucleic acid testing while specific has limitations for mass surveillance. One alternative is the main protease (Mpro ) due to its functional importance in mediating the viral life cycle. Here, we describe a combination of modular substrate and gold colloids to detect Mpro via visual readout. The strategy involves zwitterionic peptide that carries opposite charges at the C-/N-terminus to exploit the specific recognition by Mpro . Autolytic cleavage releases a positively charged moiety that assembles the nanoparticles with rapid color changes (t<10 min). We determine a limit of detection for Mpro in breath condensate matrices <10 nM. We further assayed ten COVID-negative subjects and found no false-positive result. In the light of simplicity, our test for viral protease is not limited to an equipped laboratory, but also is amenable to integrating as portable point-of-care devices including those on face-coverings.",Angewandte Chemie (International ed. in English),2022,primary,doi:10.1002/anie.202112995,34936725,PMC8854333,https://doi.org/doi:10.1002/anie.202112995
doi:10.1002/anie.202113617,A Dual-Color Fluorescent Probe Allows Simultaneous Imaging of Main and Papain-like Proteases of SARS-CoV-2-Infected Cells for Accurate Detection and Rapid Inhibitor Screening.,"The main protease (Mpro ) and papain-like protease (PLpro ) play critical roles in SARS-CoV-2 replication and are promising targets for antiviral inhibitors. The simultaneous visualization of Mpro and PLpro is extremely valuable for SARS-CoV-2 detection and rapid inhibitor screening. However, such a crucial investigation has remained challenging because of the lack of suitable probes. We have now developed a dual-color probe (3MBP5) for the simultaneous detection of Mpro and PLpro by fluorescence (or Förster) resonance energy transfer (FRET). This probe produces fluorescence from both the Cy3 and Cy5 fluorophores that are cleaved by Mpro and PLpro . 3MBP5-activatable specificity was demonstrated with recombinant proteins, inhibitors, plasmid-transfected HEK 293T cells, and SARS-CoV-2-infected TMPRSS2-Vero cells. Results from the dual-color probe first verified the simultaneous detection and intracellular distribution of SARS-CoV-2 Mpro and PLpro . This is a powerful tool for the simultaneous detection of different proteases with value for the rapid screening of inhibitors.",Angewandte Chemie (International ed. in English),2022,primary,doi:10.1002/anie.202113617,34889013,PMC8854376,https://doi.org/doi:10.1002/anie.202113617
